"","FILENAME","FRAME","TIME..HMS.","PERIOD","PERIOD.TIME..HMS.","LENGTH..mm.","PRECISION..mm.","RMS..mm.","RANGE..mm.","DIRECTION..deg.","HORZ..DIR...deg.","VERT..DIR...deg.","MID_X..mm.","MID_Y..mm.","MID_Z..mm.","OPCODE","TAPEREADER","DEPTH","COMMENT","YEAR","DIVE","TRANSECT_NUMBER","X","DIVE_NO","X.1","X.2","X.3","FAMILY","GENUS","SPECIES","CODE","NUMBER","STAGE","ACTIVITY","CHECK_ID","COMMENT.1","EVENT.TIME.HH.MM.SS"
"1","SL_2018SSEO_Dive_01_09-06-32.000.avi",61401,"40:58.7",NA,"",NA,10.643,0.346,2336.572,11.69,NA,NA,-285.919,-388.874,-2286.175,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","greenstripe",135,135,17,"","","","",NA
"2","SL_2018SSEO_Dive_01_09-06-32.000.avi",33623,"25:32.8",NA,"",620.39,78.411,2.519,6736.415,25.016,2.985,40.575,1319.665,2524.573,-6104.449,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,6,"AD","Fish seeking cover","","",NA
"3","SL_2018SSEO_Dive_01_09-06-32.000.avi",38909,"28:29.0",NA,"",313.972,72.959,2.358,6172.876,24.778,0.038,17.929,-2002.888,1637.556,-5604.574,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,7,"SU","Fish moving slowly out of frame","","",NA
"4","SL_2018SSEO_Dive_01_09-06-32.000.avi",56835,"38:26.5",NA,"",503.611,124.195,2.343,6857.165,13.679,21.7,3.62,1456.345,713.271,-6662.658,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,15,"AD","Fish chasing other fish","","",NA
"5","SL_2018SSEO_Dive_01_09-06-32.000.avi",86442,"54:53.4",NA,"",392.852,102.945,0.976,5847.022,32.353,22.298,2.956,2926.477,1107.361,-4939.347,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,20,"SU","Fish milling/hovering","","",NA
"6","SL_2018SSEO_Dive_01_09-06-32.000.avi",86502,"54:55.4",NA,"",383.717,178.766,1.378,7444.995,19.516,31.59,5.677,1339.389,2095.648,-7017.282,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,20,"JV","Fish milling/hovering","","",NA
"7","SL_2018SSEO_Dive_01_09-06-32.000.avi",51498,"35:28.6",NA,"",NA,74.311,3.536,5911.861,24.123,NA,NA,1502.358,1865.079,-5405.044,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","canary",146,146,10,"","","","",NA
"8","SL_2018SSEO_Dive_01_09-06-32.000.avi",23605,"19:58.8",NA,"",NA,32.559,2.978,4210.584,11.795,NA,NA,109.137,832.988,-4125.922,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","quillback",147,147,2,"","","","",NA
"9","SL_2018SSEO_Dive_01_09-06-32.000.avi",26947,"21:50.2",NA,"",NA,56.878,0.461,5223.305,28.165,NA,NA,2171.278,1144.668,-4610.662,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","quillback",147,147,3,"","","","",NA
"10","SL_2018SSEO_Dive_01_09-06-32.000.avi",31733,"24:29.8",NA,"",NA,17.434,1.489,3011.734,12.953,NA,NA,198.395,-660.071,-2931.806,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","quillback",147,147,4,"","","","",NA
"11","SL_2018SSEO_Dive_01_09-06-32.000.avi",52939,"36:16.6",NA,"",NA,46.239,1.335,4749.549,18.09,NA,NA,1273.317,721.304,-4518.473,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","quillback",147,147,12,"","","","",NA
"12","SL_2018SSEO_Dive_01_09-06-32.000.avi",39126,"28:36.2",NA,"",NA,90.384,2,6730.535,15.095,NA,NA,1141.065,1297.769,-6504.911,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","tiger",148,148,8,"","","","",NA
"13","SL_2018SSEO_Dive_01_09-06-32.000.avi",33076,"25:14.5",NA,"",NA,28.307,0.375,3812.367,28.708,NA,NA,-1762.597,479.94,-3346.2,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,5,"","","","",NA
"14","SL_2018SSEO_Dive_01_09-06-32.000.avi",52619,"36:06.0",NA,"",NA,22.994,0.339,3383.826,27.277,NA,NA,-1459.426,509.234,-3010.155,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,11,"","","","",NA
"15","SL_2018SSEO_Dive_01_09-06-32.000.avi",56027,"37:59.6",NA,"",NA,14.025,1.894,2628.996,18.571,NA,NA,811.582,-218.412,-2491.033,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,14,"","","","",NA
"16","SL_2018SSEO_Dive_01_09-06-32.000.avi",69114,"45:15.8",NA,"",NA,16.376,2.316,3137.733,0.573,NA,NA,-27.347,-31.152,-3137.459,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,18,"","","","",NA
"17","SL_2018SSEO_Dive_01_09-06-32.000.avi",86214,"54:45.8",NA,"",NA,62.026,1.248,5432.87,20.521,NA,NA,1365.263,1302.155,-5094.755,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,19,"","","","",NA
"18","SL_2018SSEO_Dive_01_09-06-32.000.avi",42088,"30:14.9",NA,"",NA,32.61,0.144,4037.224,31.922,NA,NA,-1677.387,1303.157,-3433.268,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","dusky",172,172,9,"","","","",NA
"19","SL_2018SSEO_Dive_01_09-06-32.000.avi",57145,"38:36.8",NA,"",NA,49.374,3.348,4921.976,16.783,NA,NA,1005.27,980.921,-4717.316,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","dusky",172,172,16,"","","","",NA
"20","SL_2018SSEO_Dive_01_09-06-32.000.avi",13651,"14:27.0",NA,"",NA,40.428,1.112,4469.761,31.124,NA,NA,2040.126,1064.993,-3831.767,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"","unknown",NA,NA,1,"","","","",NA
"21","SL_2018SSEO_Dive_01_09-06-32.000.avi",55585,"37:44.8",NA,"",NA,28.889,2.614,3820.527,19.511,NA,NA,304.181,1221.096,-3607.329,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","unknown",NA,NA,13,"","","YES","",NA
"22","SL_2018SSEO_Dive_02_10-28-44.000.avi",11700,"35:18.0",NA,"",NA,72.836,6.37,6226.985,33.915,NA,NA,-2967.575,1780.913,-5176.6,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","yelloweye",145,145,4,"AD","Fish milling/hovering","","NO LENGTH, 1/2 body in frame",NA
"23","SL_2018SSEO_Dive_02_10-28-44.000.avi",24077,"42:10.6",NA,"",NA,20.163,0.434,3294.493,30.032,NA,NA,1648.813,-18.541,-2852.15,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","yelloweye",145,145,7,"JV","Fish resting on bottom","","Hiding body",NA
"24","SL_2018SSEO_Dive_02_10-28-44.000.avi",30171,"45:33.7",NA,"",376.504,57.224,1.96,4369.7,29.897,23.079,15.325,-2156.937,302.653,-3788.179,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","yelloweye",145,145,10,"SU","Fish milling/hovering","","",NA
"25","SL_2018SSEO_Dive_02_10-28-44.000.avi",31752,"46:26.4",NA,"",NA,31.407,0.594,3956.709,27.748,NA,NA,-1721.359,638.522,-3504.962,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","yelloweye",145,145,14,"JV","Fish resting on bottom","","No Length, 1/2 body hidden",NA
"26","SL_2018SSEO_Dive_02_10-28-44.000.avi",66830,"05:55.7",NA,"",NA,42.444,1.925,4525.828,24.424,NA,NA,1745.173,654.776,-4124.167,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","yelloweye",145,145,21,"AD","Fish resting on bottom","","NO LENGTH, 1/2 body in rock",NA
"27","SL_2018SSEO_Dive_02_10-28-44.000.avi",108,"28:51.6",NA,"",NA,37.817,1.337,4246.461,25.949,NA,NA,-1522.439,1046.022,-3823.669,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,1,"","","","",NA
"28","SL_2018SSEO_Dive_02_10-28-44.000.avi",12792,"35:54.4",NA,"",NA,34.366,1.028,4217.637,13.513,NA,NA,-447.534,857.407,-4105.244,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,5,"","","","",NA
"29","SL_2018SSEO_Dive_02_10-28-44.000.avi",28033,"44:22.4",NA,"",NA,20.318,2.129,3148.76,24.413,NA,NA,1245.948,361.499,-2869.08,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,8,"","","","",NA
"30","SL_2018SSEO_Dive_02_10-28-44.000.avi",28181,"44:27.4",NA,"",NA,66.777,0.77,5608.782,27.791,NA,NA,2071.198,1571.544,-4969.791,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,9,"","","","",NA
"31","SL_2018SSEO_Dive_02_10-28-44.000.avi",30680,"45:50.7",NA,"",NA,34.398,2.445,4395.917,9.126,NA,NA,-58.169,672.948,-4343.714,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,11,"","","","",NA
"32","SL_2018SSEO_Dive_02_10-28-44.000.avi",31489,"46:17.6",NA,"",NA,49.328,0.471,4977.454,18.704,NA,NA,502.643,1491.217,-4722.147,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,13,"","","","",NA
"33","SL_2018SSEO_Dive_02_10-28-44.000.avi",32697,"46:57.9",NA,"",NA,35.514,0.23,4428.289,34.909,NA,NA,-2216.446,1210.281,-3637.627,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,15,"","","","",NA
"34","SL_2018SSEO_Dive_02_10-28-44.000.avi",38394,"50:07.8",NA,"",NA,60.401,1.59,5457.975,29.575,NA,NA,-2315.645,1352.494,-4753.74,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,16,"","","","",NA
"35","SL_2018SSEO_Dive_02_10-28-44.000.avi",49528,"56:18.9",NA,"",NA,38.73,1.949,4305.562,19.586,NA,NA,1013.694,1006.999,-4061.557,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,17,"","","","",NA
"36","SL_2018SSEO_Dive_02_10-28-44.000.avi",56759,"00:20.0",NA,"",NA,47.509,0.377,4924.521,14.032,NA,NA,-689.488,950.781,-4782.418,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,19,"","","","",NA
"37","SL_2018SSEO_Dive_02_10-28-44.000.avi",63473,"04:03.8",NA,"",NA,45.363,1.815,4661.387,20.176,NA,NA,985.453,1248.293,-4381.686,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",147,147,20,"","","","",NA
"38","SL_2018SSEO_Dive_02_10-28-44.000.avi",10205,"34:28.2",NA,"",NA,57.038,0.879,5427.706,33.669,NA,NA,2654.272,1394.735,-4524.328,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","rosethorn",150,150,3,"","","","",NA
"39","SL_2018SSEO_Dive_02_10-28-44.000.avi",30771,"45:53.7",NA,"",NA,33.198,0.473,4288.136,7.897,NA,NA,342.981,457.604,-4249.832,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","rosethorn",150,150,12,"","","","",NA
"40","SL_2018SSEO_Dive_02_10-28-44.000.avi",24077,"42:10.6",NA,"",NA,13.659,1.377,2630.228,30.346,NA,NA,1271.224,-398.543,-2267.874,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","silvergray",157,157,6,"","","","",NA
"41","SL_2018SSEO_Dive_02_10-28-44.000.avi",54537,"59:05.9",NA,"",NA,36.995,0.752,4269.991,25.805,NA,NA,-1741.15,631.263,-3847.431,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","dusky",172,172,18,"","","","",NA
"42","SL_2018SSEO_Dive_02_10-28-44.000.avi",7938,"33:12.6",NA,"",NA,7.875,1.203,2018.227,13.271,NA,NA,70.727,-467.742,-1962.003,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","quillback",NA,NA,2,"","","","",NA
"43","SL_2018SSEO_Dive_03_12-02-36.000.avi",7228,"06:43.9",NA,"",NA,47.262,1.045,4787.589,18.113,NA,NA,-966.164,-1155.113,-4544.585,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"greenling","lingcod",130,130,11,"","","","NO LENGTH, not clear image",NA
"44","SL_2018SSEO_Dive_03_12-02-36.000.avi",6491,"06:19.4",NA,"",NA,58.264,1.018,5249.172,24.927,NA,NA,-1523.747,1579.943,-4768.206,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,4,"","","","",NA
"45","SL_2018SSEO_Dive_03_12-02-36.000.avi",7338,"06:47.6",NA,"",420.733,80.302,2.065,4360.808,27.212,51.097,10.996,-1918.847,-542.659,-3878.168,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,13,"","","","",NA
"46","SL_2018SSEO_Dive_03_12-02-36.000.avi",7338,"06:47.6",NA,"",557.378,142.119,4.111,5882.189,18.601,47.152,25.371,-1493.441,1135.843,-5574.911,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,15,"","","","",NA
"47","SL_2018SSEO_Dive_03_12-02-36.000.avi",7338,"06:47.6",NA,"",415.561,61.68,3.72,5379.483,29.437,20.157,54.517,-1918.05,1819.652,-4684.953,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,16,"","","","",NA
"48","SL_2018SSEO_Dive_03_12-02-36.000.avi",7338,"06:47.6",NA,"",NA,52.999,1.709,5460.494,7.516,NA,NA,318.254,612.201,-5416.726,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,12,"","","","",NA
"49","SL_2018SSEO_Dive_03_12-02-36.000.avi",7338,"06:47.6",NA,"",NA,26.689,0.962,3719.77,12.298,NA,NA,-628.598,464.014,-3636.79,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,14,"","","","",NA
"50","SL_2018SSEO_Dive_03_12-02-36.000.avi",7338,"06:47.6",NA,"",NA,53.937,4.819,5194.884,18.166,NA,NA,-1520.643,532.555,-4938.71,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,17,"","","","",NA
"51","SL_2018SSEO_Dive_03_12-02-36.000.avi",7338,"06:47.6",NA,"",NA,66.357,2.012,5647.937,24.001,NA,NA,-2007.328,1091.193,-5165.184,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,18,"","","","",NA
"52","SL_2018SSEO_Dive_03_12-02-36.000.avi",7371,"06:48.7",NA,"",NA,36.765,0.951,4443.14,27.887,NA,NA,-2077.593,-68.299,-3926.886,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,19,"","","","",NA
"53","SL_2018SSEO_Dive_03_12-02-36.000.avi",7633,"06:57.4",NA,"",496.847,4.727,3.372,1785.247,9.231,12.153,36.686,147.151,245.695,-1762.126,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,20,"","Attracted","","",NA
"54","SL_2018SSEO_Dive_03_12-02-36.000.avi",7633,"06:57.4",NA,"",501.961,8.999,1.504,2710.487,18.04,6.856,58.646,834.639,-89.174,-2577.24,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,21,"","","","",NA
"55","SL_2018SSEO_Dive_03_12-02-36.000.avi",7633,"06:57.4",NA,"",385.212,42.821,2.838,4095.39,15.525,23.133,28.294,-1094.305,-63.484,-3945.971,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,22,"","","","",NA
"56","SL_2018SSEO_Dive_03_12-02-36.000.avi",7633,"06:57.4",NA,"",NA,58.921,0.871,5489.218,25.545,NA,NA,-2327.266,407.475,-4954.727,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,23,"","","","",NA
"57","SL_2018SSEO_Dive_03_12-02-36.000.avi",7781,"07:02.4",NA,"",NA,11.283,0.298,2462.467,28.954,NA,NA,-1190.355,53.89,-2154.97,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,24,"","","","",NA
"58","SL_2018SSEO_Dive_03_12-02-36.000.avi",10246,"08:24.5",NA,"",NA,51.243,0.26,4907.266,23.153,NA,NA,1316.496,1387.8,-4519.083,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,25,"","","","",NA
"59","SL_2018SSEO_Dive_03_12-02-36.000.avi",43794,"27:02.8",NA,"",531.844,30.178,1.217,2814.168,17.624,50.125,37.895,-850.423,-52.407,-2682.084,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,30,"","Fish resting on bottom","","",NA
"60","SL_2018SSEO_Dive_03_12-02-36.000.avi",44968,"27:41.9",NA,"",510.793,3.599,0.686,1408.321,20.712,11.479,15.265,141.323,-477.603,-1317.305,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,31,"","Attracted","","",NA
"61","SL_2018SSEO_Dive_03_12-02-36.000.avi",54258,"32:51.6",NA,"",513.352,6.777,2.862,1800.615,28.467,0.047,33.454,-671.25,-534.845,-1582.902,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,49,"","Fish actively swimming in frame","","",NA
"62","SL_2018SSEO_Dive_03_12-02-36.000.avi",56518,"34:06.9",NA,"",482.54,22.288,3.074,3712.801,12.936,7.93,16.54,796.274,238.311,-3618.57,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","black",142,142,53,"","Fish resting on bottom","","",NA
"63","SL_2018SSEO_Dive_03_12-02-36.000.avi",6952,"06:34.7",NA,"",634.522,143.729,3.684,6901.2,16.764,35.758,37.911,-1348.105,1464.528,-6607.899,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,9,"AD","Fish milling/hovering","","",NA
"64","SL_2018SSEO_Dive_03_12-02-36.000.avi",45937,"28:14.2",NA,"",NA,26.358,0.154,3852.023,8.641,NA,NA,-28.415,558.882,-3811.158,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,32,"AD","Feeding","","NO LENGTH, 1/2 body in rocks",NA
"65","SL_2018SSEO_Dive_03_12-02-36.000.avi",46353,"28:28.1",NA,"",NA,22.216,0.388,3279.562,29.925,NA,NA,1413.319,809.849,-2846.437,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,33,"JV","Fish actively swimming in frame","","NO LENGTH, 1/2 body seen",NA
"66","SL_2018SSEO_Dive_03_12-02-36.000.avi",46901,"28:46.4",NA,"",278.227,48.204,2.358,3670.595,12.079,34.984,9.578,-303.111,-705.773,-3589.329,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,32,"JV","Fish resting on bottom","","",NA
"67","SL_2018SSEO_Dive_03_12-02-36.000.avi",47403,"29:03.1",NA,"",NA,73.662,1.401,6130.367,16.585,NA,NA,1696.859,397.763,-5877.402,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,35,"AD","Fish resting on bottom","","NO LENGTH, 1/2 body in rocks",NA
"68","SL_2018SSEO_Dive_03_12-02-36.000.avi",48448,"29:37.9",NA,"",NA,76.821,1.36,6032.531,23.694,NA,NA,-1679.058,1720.664,-5532.767,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,37,"AD","Attracted","","NO LENGTH, coming toward cam",NA
"69","SL_2018SSEO_Dive_03_12-02-36.000.avi",50073,"30:32.1",NA,"",671.215,44.771,1.402,4086.852,14.173,30.573,38.191,44.392,999.68,-3962.452,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,44,"AD","Feeding","","",NA
"70","SL_2018SSEO_Dive_03_12-02-36.000.avi",53786,"32:35.9",NA,"",472.996,116.157,3.027,4618.851,3.794,57.101,6.309,213.212,-218.927,-4608.731,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,47,"SU","Feeding","","",NA
"71","SL_2018SSEO_Dive_03_12-02-36.000.avi",64868,"38:45.3",NA,"",NA,26.774,0.589,3570.981,26.659,NA,NA,1434.793,-729.095,-3187.741,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","yelloweye",145,145,57,"JV","Fish resting on bottom","","NO LENGTH, 1/2 body shown",NA
"72","SL_2018SSEO_Dive_03_12-02-36.000.avi",4861,"05:25.0",NA,"",NA,95.169,0.335,6935.363,23.554,NA,NA,527.129,2688.874,-6371.134,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","canary",146,146,1,"","","","",NA
"73","SL_2018SSEO_Dive_03_12-02-36.000.avi",4861,"05:25.0",NA,"",NA,100.812,0.116,6989.516,26.381,NA,NA,1165.336,2847.254,-6276.023,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","canary",146,146,2,"","","","",NA
"74","SL_2018SSEO_Dive_03_12-02-36.000.avi",37636,"23:37.5",NA,"",NA,23.382,1.435,3374.28,22.159,NA,NA,-1198.324,-444.439,-3122.86,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","quillback",147,147,26,"","","","",NA
"75","SL_2018SSEO_Dive_03_12-02-36.000.avi",37636,"23:37.5",NA,"",NA,40.492,0.351,4571.431,12.835,NA,NA,-812.624,586.517,-4460.227,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","quillback",147,147,27,"","","","",NA
"76","SL_2018SSEO_Dive_03_12-02-36.000.avi",43460,"26:51.7",NA,"",NA,11.789,0.567,2490.535,11.603,NA,NA,-472.661,153.586,-2440.444,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","quillback",147,147,29,"","","","",NA
"77","SL_2018SSEO_Dive_03_12-02-36.000.avi",50296,"30:39.5",NA,"",NA,73.478,2.418,5910.485,26.989,NA,NA,-2014.494,1744.524,-5275.631,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","quillback",147,147,46,"","","","",NA
"78","SL_2018SSEO_Dive_03_12-02-36.000.avi",54061,"32:45.0",NA,"",NA,28.049,0.371,3680.736,26.252,NA,NA,-1432.712,756.64,-3304.944,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","quillback",147,147,48,"AD","","","",NA
"79","SL_2018SSEO_Dive_03_12-02-36.000.avi",60565,"36:21.8",NA,"",NA,34.903,0.612,4191.36,18.52,NA,NA,-1279.192,348.796,-3976.117,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","quillback",147,147,55,"","","","",NA
"80","SL_2018SSEO_Dive_03_12-02-36.000.avi",64170,"38:22.0",NA,"",NA,27.704,0.574,3758.942,26.372,NA,NA,-1645.195,-302.012,-3366.269,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","quillback",147,147,56,"","","","",NA
"81","SL_2018SSEO_Dive_03_12-02-36.000.avi",6491,"06:19.4",NA,"",NA,51.911,0.557,5035.097,22.78,NA,NA,-752.365,1775.16,-4651.339,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","tiger",148,148,3,"","","","",NA
"82","SL_2018SSEO_Dive_03_12-02-36.000.avi",6491,"06:19.4",NA,"",NA,23.833,0.476,3543.935,32.245,NA,NA,-1732.055,743.29,-3001.164,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","dusky",172,172,5,"","","","",NA
"83","SL_2018SSEO_Dive_03_12-02-36.000.avi",6811,"06:30.0",NA,"",NA,18.499,1.443,3168.754,10.197,NA,NA,-160.379,521.822,-3121.375,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","dusky",172,172,6,"","","","",NA
"84","SL_2018SSEO_Dive_03_12-02-36.000.avi",6952,"06:34.7",NA,"",NA,31.657,1.428,4119.773,10.109,NA,NA,-422.74,566.257,-4058.716,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","dusky",172,172,8,"","","","",NA
"85","SL_2018SSEO_Dive_03_12-02-36.000.avi",6952,"06:34.7",NA,"",NA,15.322,5.131,2721.434,26.25,NA,NA,-1083.136,-537.246,-2438.111,1,"KelliiWood",0,"N/A",2018,"SSEO_3",46,NA,3,NA,NA,NA,"rockfish","dusky",172,172,10,"","","","",NA
